# Epochs: 150, Lr:0.0001, Model: With BatchNorm2d(64) and 128
epoch,loss
1,3.7749433466020803
2,2.65097306252533
3,2.188444225705568
4,1.8300761079558008
5,1.5282203628708084
6,1.275517746870214
7,1.068858436139144
8,0.9041550981181954
9,0.7812529797174367
10,0.6872559966945339
11,0.6201702839757933
12,0.5704330492902685
13,0.5347942174551057
14,0.5067392064182163
15,0.48400945610330864
16,0.46493192303816444
17,0.44815823164388247
18,0.4350175634442416
19,0.42306290825109116
20,0.41276486566253867
21,0.4031133986455944
22,0.393959798297592
23,0.38630811042593033
24,0.38055087765471524
25,0.3732270644606059
26,0.36675234602371826
27,0.36018956739093244
28,0.35645615658935326
29,0.3493253651469948
30,0.3452465087467615
31,0.34042152750582694
32,0.3365078023712479
33,0.3314628646217757
34,0.32710654730861155
35,0.32290688719148863
36,0.3207078998484223
37,0.315631350538481
38,0.31260912412573955
39,0.3093569620867968
40,0.30649691108104743
41,0.3020880195082691
42,0.2997120163835708
43,0.29681655185989386
44,0.2927762843424548
45,0.29254748299717903
46,0.29003950981668436
47,0.28674310796986235
48,0.2837124913085066
49,0.281138784816296
50,0.278177745290707
51,0.27729193380900147
52,0.2754345514395055
53,0.27284165038847
54,0.2697392846355444
55,0.2681725750027954
56,0.2656665343678563
57,0.2648014981857997
58,0.2635545215828032
59,0.2608832731903973
60,0.2593692946024708
61,0.2576662990323395
62,0.25509599943360006
63,0.25401658003399086
64,0.25179731824316637
65,0.25092503777987896
66,0.24879082399521954
67,0.2472526256593296
68,0.24642471725861168
69,0.24448656330475657
70,0.24346413119009935
71,0.2416567036866166
72,0.239594956694996
73,0.2395590995680413
74,0.23778504818133314
75,0.23694257631388183
76,0.23545655946578092
77,0.23420886835452184
78,0.23386326411574182
79,0.23210705675357826
80,0.23162759955953605
81,0.22983512934999836
82,0.22923416774412253
83,0.22755746417292158
84,0.22757526575544484
85,0.22684213778099171
86,0.2245812453909137
87,0.22491321854977314
88,0.2235491285883882
89,0.22226112534429665
90,0.2210602132394739
91,0.22124698508494042
92,0.2198238586087336
93,0.21900344403438002
94,0.21891743469396882
95,0.2179166434139256
96,0.21714165534686722
97,0.2165710491854595
98,0.2153320309045037
99,0.21503485247141252
100,0.2141803283722924
