# Epochs: 100, Lr:0.0001, Model: Default + 1x Conv2d(128,256) 3x BatchNorm2d(64) and 128, ReduceLROnPlateau
epoch,train_loss,val_loss
1,0.07307437005918473,0.06900342117547989
2,0.06007762152934447,0.05849069868400693
3,0.05284427620442584,0.04968928482457995
4,0.04757359158489853,0.05524160397425294
5,0.043178974756225945,0.0455747450388968
6,0.03954667354319245,0.046168101834505794
7,0.03626257367068902,0.04095435956791043
8,0.033414651543833315,0.04026184273213148
9,0.030899719488527627,0.04769921518564224
10,0.028521078402968122,0.04078752739802003
11,0.02671140670301393,0.03897824798002839
12,0.024930720162112265,0.03831538796052337
13,0.023337307748384772,0.03311911905370653
14,0.02190727476738393,0.03136163708642125
15,0.020807810729695484,0.0315557706028223
16,0.019654437159886583,0.03475810849778354
17,0.018682955302111805,0.03231957571022213
18,0.01778552843770012,0.061707937048375607
19,0.017036835322063418,0.04700493559613824
20,0.016315987313818187,0.028855306555703283
21,0.015698282117722555,0.03178574262484908
22,0.015076735448278486,0.030396834993362428
23,0.01456308478792198,0.032211591430194676
24,0.01402334852265194,0.027555180135928094
25,0.013512398491660133,0.027706873941048978
26,0.013149635983631015,0.03092210665717721
27,0.012743650958314538,0.029084298015758396
28,0.012322528989100828,0.027286728646606206
29,0.011992942254571244,0.02587046084087342
30,0.011705711588729174,0.02988631878271699
31,0.011420100694149733,0.025725241429544986
32,0.011134836667915806,0.02796957137491554
33,0.01090426154199522,0.0259458852622658
34,0.010653521085693502,0.03476995419375598
35,0.010355060338415205,0.027403777160309256
36,0.010164524941449054,0.0257816926471889
37,0.009936674743215553,0.026086425212584436
38,0.007987896273448132,0.02554478736091405
39,0.007511714788596146,0.024565104267932476
40,0.007328749130200595,0.024434666893817486
41,0.007146219887561165,0.024945468372665345
42,0.007008969497401267,0.024145822475478054
43,0.006899203730374575,0.02528594179749489
44,0.006787031145812944,0.023695377360470594
45,0.00670109503811691,0.023677063184417785
46,0.0065934444294543934,0.023291285094991326
47,0.006519487312762067,0.024089782665111123
48,0.006437757223076187,0.023457555408589542
49,0.006347599019552581,0.028747086466103793
50,0.006283221141761169,0.024170224677585065
51,0.006183042663079686,0.023636660119704903
52,0.006126809054403565,0.02472838883921504
53,0.0053471658695722,0.022975253172777592
54,0.0052011993281776085,0.024859349123947324
55,0.0051126418062252925,0.02311257198806852
56,0.005058682723296806,0.02305101701859385
57,0.004996723530394956,0.02378540200274438
58,0.004960321994242258,0.023214376915432513
59,0.004931464752031024,0.023320260513201355
60,0.004592608126299456,0.02335331389643252
61,0.004519154651125427,0.023184226163104178
62,0.004484229921083898,0.02302830082438886
63,0.004460945765930228,0.023467098579928278
64,0.004430070593650453,0.023217167115584015
65,0.0044169054668978785,0.02303832735735923
66,0.004254051017819438,0.0231892582077533
67,0.004222452537121717,0.0230808155791834
68,0.004201175070926547,0.023326582653820514
69,0.004184054398373701,0.023268013058044018
70,0.004163186187238898,0.02326117448825389
71,0.004167747909354511,0.0230523118281737
72,0.0040790660194354135,0.023232672146335245
73,0.0040689344242564405,0.023195937883295117
74,0.0040510427250759675,0.023241400582715867
75,0.004044675551075488,0.023309324268251656
76,0.004036066458607093,0.023130828443542122
77,0.004044399800302926,0.023179773567058148
78,0.003998893410072197,0.023134972632676363
79,0.003987537023448385,0.023167969854176046
80,0.00398830510226544,0.02334213532116264
81,0.003996158394915983,0.023276891337521373
82,0.0039909437409369275,0.0233265303067863
83,0.003982185645401478,0.023245518384501337
84,0.003955817517847754,0.023180281806178392
85,0.003959625515493098,0.02347124787438661
86,0.003947297332040034,0.0232235892502591
87,0.003959569692483638,0.023240857166051863
88,0.003952291267889086,0.02337388602104038
89,0.003950581319001503,0.023221220156177877
90,0.003940353292052169,0.023220131565071644
91,0.00392873273078585,0.02303953047133982
92,0.003935568276362028,0.023127198531851172
93,0.0039390109476051295,0.023269185619056224
94,0.003921893952868414,0.02330965559333563
95,0.00392673252040986,0.02330316416118294
96,0.0039362841437687165,0.023425444774888456
97,0.003925981699710247,0.02325348149035126
98,0.003926010639965534,0.02336615958530456
99,0.003928865534893702,0.02327301503457129
100,0.0039135368350311185,0.023320210908353328
